,tweets
2436,"['At the present time the situation is that international communities, UN, @Refugees are in dialogue with Talibans. Afghanistan is in the hands of Taliban terrorists. Afghanistan has to be in the hands of the peaceful Afghan people. 3']"
2437,['We will continue to work with the Manmeet S. Bhullar Foundation to bring Afghan Sikh’s and Hindu refugees to Canada in hopes for a safer future.']
2438,['@stevehayes61 @MarinaPurkiss And that’s not true. But young men can be refugees too. Iraqi policeman arrested and tortured cos he wouldn’t shoot innocent protesters. 19 year old Afghan lost both parents. 4 brothers in England his only family. He was on the plane to Rwanda. Cruelty.']
2439,['#WorldRefugeeDay2022 handicrafts exhibition organized at a local hotel in #Quetta... Afghan refugees participated in the event https://t.co/5YdRnT0h5u']
2440,"[""@jindisinghka There are only a few hundred remaining in Afghanistan, and from what I've been reading, they are determined to stay.\n\nEfforts are better focused on resettling afghan Sikh refugees who are currently in Pakistan and India. Just because they've left, doesn't mean they're okay.""]"
2441,"['@stevehayes61 @MarinaPurkiss Why is the government paying people to house Ukrainian refugees but not Afghan,Syrian refugees??']"
2442,['@JanDBisschop @Refugees I appreciate your struggle for afghan refugees... especially for IDPS.']
2443,"[""@UNHCRCanada Stand up with Human Right afghan refugees in the islamabad Pakistan under the sun wind rain and world must be now about afghan children's\nKill us https://t.co/ZY6Uzn3VCj""]"
2444,['@VintiquesMark There are no safe/legal routes for asylum seekers to reach UK. The Tories closed down all of our visa application centres in our embassies etc. With the exception of the limited Ukraine and Afghan schemes (both woeful) there is no way for refugees getting here. Hence smugglers.']
2445,"['@NICP37819718 @lewis_goodall So you object to Hong Kong, Ukrainian and Afghan refugees coming as well? How about those from the Republic coming to work here, they are technically immigrants. You`re going to hate that Australians, Indians and Rwandans will soon be allowed access as well.']"
2446,['@shareapaella @AlexStillMe @NewYorker Provide safe legal routes like we have done for Ukrainian refugees. Syrian and Afghan refugees are fleeing war zones and persecution but can’t apply online for a visa. Ukrainians like them travel through other countries deemed safe. The only difference is their skin colour.']
2447,"['@SeanFraserMP While we are thank @canadagovernme1 support, but your evacuation for afghan refugees are pretty much slow, there is many families in Albania 🇦🇱 Georgia 🇬🇪, Maqdonia abu dabi… that almost got there approval for canada but still waiting for the their flight…']"
2448,"['@CitImmCanada While we are thank @canadagovernme1 support, but your evacuation for afghan refugees are pretty much slow, there is many families in Albania 🇦🇱 Georgia 🇬🇪, Maqdonia abu dabi… that almost got there approval for canada but still waiting for the their flight…']"
2449,['This is your daily reminder that @GovEvers has allowed Afghan refugees with their child brides to come to Wisconsin. #AfghanRefugees #OneTermTony']
2450,['We have seen the expedited evacuation of vulnerable refugees from Afghanistan and other countries and we believe Afghan Sikhs and Hindus are just as needful and deserving of such an evacuation today.']
2451,"[""@Sassy_Hindu If I were NaMo, I'd request SGPC to file a please in SC urging it to expedite CAA so that Afghan Sikhs can be accommodated as respectable citizens rather than refugees.\nAfter that is done, I'd request them to issue an official release denouncing Canada based Khalistani groups...""]"
2452,"['10:39, OK George, @TheBushCenter, another morning w/ @DelDanHelmer? Always crushing my Settlement Dreams? And seriously, how many Afghan Refugees would work w/ this guy, @DarrellIssa, @JayObernolte? While here in Sheffield, TX, George? Fwd w/ our Original Rare Earth Strategy? https://t.co/woJQVVAOTs']"
2453,"[""Monday, join us on #WorldRefugeeDay for a webinar with @metropolisinst on the response of Canada and the United States to Afghan refugees.\n\nThe @wrmcouncil's Chair @lloydaxworthy will deliver closing remarks.\n\n#Afghanistan #Refugees\n\nRegister below👇\nhttps://t.co/7JBJBSHSdw""]"
2454,"['Last week I visited #Afghanistani #refugees school in #Vahdat district #Tajikistan. I’ve learnt that nearly 4K students &gt;children and adults study there. The school founded by an Afghan refugee who’s in #Canada now, has been refurbished recently by the #US NGO “Spirit of America” https://t.co/QdEOccmazn']"
2455,['Question: Would that drive-through be grandfathered in? Are there enough Afghanistan refugees in the area to support an Afghan restaurant/grocery combo? Where’s the nearest hummus and tabouleh shop? Area seems under-leveraged for ethnic cuisine. https://t.co/SKWs9wiesY']
2456,"['Refugees rights Human rights, please Resettle  Afghan Refugees from Indonesia. We are tired of 10 years in limbo #RescueAfgRefugees_Indonesia https://t.co/EGLRiWELsw']"
2457,['@KingAli_69 How many Afghan refugees are you housing?']
2458,"['@H0me23 @EosExar @TompsettStephen @Sosban_in_Exile @BBCPolitics Ooo I don’t know, maybe Germany? France? Italy? Sweden?  There are more countries than just the UK lmao in actual fact again we had no obligation to take any Afghan Refugees but we did as we are a great set of nations. We could’ve left them all there to the Taliban but we didn’t']"
2459,['Enhancing the skills of Afghan refugees and local artisans and providing a platform to showcase and market their products is a great step towards economic betterment.\nLet us promote and spread positivity.\n@Refugees https://t.co/RLwvyYyRAy']
2460,"['US seeks close ties on human rights, Afghan refugees #Pakistan https://t.co/aj89CiojqD']"
2461,"['With a new government in Pakistan under Prime Minister Shehbaz Sharif, the U.S. government has an opening to complete the evacuation of its former Afghan employees who remain at risk under Taliban rule.\nhttps://t.co/4ic5B0sNpd']"
2462,['Thousands of Afghan refugees return home each day: Taliban https://t.co/SMo80jC0tj #Afghanistan #Taliban #News']
2463,['Thousands of Afghan refugees return home each day:\xa0Taliban https://t.co/aO6xj2wPiu']
2464,"[""@benwansell Criticising the sending of refugees to Rwanda is racist, but sending Afghan refugees to Rwanda and not Ukrainian ones isn't. Right-ho.""]"
2465,['@grantshapps While deporting Syrian an Afghan refugees it’s obviously racism']
2466,"[""@That_KSG @shanselah @YorksRose_84 Four Afghan refugees found guilty of gang-raping 16-year-old girl above a takeaway | The Sun\nBradford boy 'terrified' after attempt to lure him into car | Bradford Telegraph and Argus (https://t.co/o9GKjpncJW)""]"
2467,"['US seeks close ties on human rights, Afghan refugees #Pakistan https://t.co/BUMhIk9Ptq']"
2468,"['@Bairey89 @jimprice75 @TelBabe I was replying to jmprice. The only example he gave of genuine refugees was Ukraine as “that’s a real war”. \nMost of our asylum seekers originate from war zones. Africans don’t come in the top five at least. Syria, afghan, Venezuela are the top three']"
2469,['@Hermhan_1 @AZmilitary1 Tell that Germany and Austria who literally shipped afghan refugees back until two weeks before the fall of Kabul']
2470,"[""@Lee82830520 @ExistResist2 @KhaledBeydoun I don't see Ukrainian men fighting cuz German is replacing Afghan refugees for them &amp; Did you went there &amp; checked urself they're AlL women! Not most of them!!! Idk what t-f is wrong with you but you need serous help, If both countries at war, UK NVM, I'm talking to 🤖 not human""]"
2471,['Hi @whjm any chance of taking #Afghan #Africans #RefugeesWelcome #refugees? If so sad and heartbroken of letting go of CAUCASIAN (same to you) #UkraineRefugees? https://t.co/8Np5MCKxFZ ... cant hide being to comfortable body language haha (means cant hide our #racism)']
2472,"['Welcomed the meeting with new US Ambassador Blome and the opportunity to discuss the need for robust global solidarity in finding solutions for #Afghan refugees.  Like around the globe, the US Government is an invaluable partner for #UNHCR in Pakistan. https://t.co/UMVP9vuzFP']"
2473,"[""@Lee82830520 @ExistResist2 @KhaledBeydoun So what! That logic between animals not ppl with brain &amp; Yes kicking Afghan refugees for Ukrainian is Racism\nIf any Arab country did that we wouldn't hear the end of it but As long it's European country &amp; Ppl with same skin color it's okay cuz Afghan refugees don't share ur Color""]"
2474,['@SeanFraserMP Sure appreciate canada humanitarian effort with afghan refugees.']
2475,['@GNev2 You won’t read it because you don’t care it’s just a stick to the beat the Tories with but it would be good if those who want them here could listen to the experts. https://t.co/NYujfK3W6N']
2476,['#Afghanistan From AUGUST 2021 https://t.co/41IVad58gA via @thedbk']
2477,"['The islamic republic stoles land from the Ba’hai people, beats afghan refugees, executes Baloch prisoners, persecutes gay people, diminishes their women and wishes to destroy Israel. \n\nAnd the world is still silent. https://t.co/jYLxhjjkzz']"
2478,['This family offered to sponsor dozens of Afghan refugees. They never heard back from the Australian government   https://t.co/vUiQ6l0lD2']
2479,"['The @A_CAA (Afghan and Central Asian Association) is hosting a festival on 26th June! To mark #RefugeeWeek, an annual #celebration of the contributions, creativity and resilience of #refugees and people seeking sanctuary.\n\nSee more information and tickets: https://t.co/lyS0bwvy8H https://t.co/FG7wamy7L9']"
2480,['This family offered to sponsor dozens of Afghan refugees. They never heard back from the Australian government   https://t.co/lz2DbvvYB7']
2481,"['@arpitgupta2323 @MrSinha_ Your dumb take and fake laughs emojis dont change the fact that only 20 sikh  families are left in AF ,rest have evacuated &amp; settled in mexico canada and uk\nAnd do something about innocent poor hindus in bangladesh kashmir and pakistan.\n\nhttps://t.co/dGCkyd1JPn']"
2482,"[""In #Pakistan , @Refugees Deputy was told: Afghan refugees are unwilling to return to their country because they can't send their teenage girls to school back home.\n\nTaliban must open teenage girls' schools to stop out-migration and to favour return of refugees. https://t.co/EWFN0sYZh1""]"
2483,['@EthicalRenewal #liars LIE\nGet #Brexit done\nNo Rules broken #Partygate\n#LevellingUp\n#TripleLock\n#vaccine roll out\nNo rise in #taxes\nHelping #Afghan refugees\n£350/month for #Ukrainian refugees\n#Rwanda is safe\n#tagged asylum seekers keep us safe\nLefty #Lawyers\n#Union causing chaos\n#Worldbeating']
2484,"[""@iMac_too You don't Afghan Sikhs in Delhi live happily because rich Gurudwaras provide shelter  food and jobs.\n\nHindu refugees live in slums with no electricity ,healthcare .\n\nWhy is modi govt not freeing hindu temples?""]"
2485,['Bericht einer Aktivist:in: \n#deportation_turkey\nAround 300 Afghan refugees were deported from Turkey to #Afghanistan on 16 of June 2022.\nThis deportation took place by Ariana Afghan Airlines. \nInfos: https://t.co/wKV97tKRvn']
2486,"['TW: Child abuse \nThese private guards in F-10 Markaz Islamabad have locked these street kids in a private cabin and guards claim that we are punishing them for begging in the market, the kids seem to be Afghan refugees.\n@dcislamabad @ICT_Police https://t.co/yX7GRsvNja']"
2487,['Alan Wilson is completely wrong. Our own soldiers laying down their lives to protect Afghanis. Not Afghan people dying to protect our soldiers. It is their own foul regime that is harming them. @EstherMcVey1 And Ukrainians are guests not refugees  so church helping 4 is pathetic. https://t.co/odngmDcpgw']
2488,"['Germany is deporting Syrian and Afghan refugees to “make room” for Ukrainian refugees\n\nMe:\n\nWhite Supremacy #Racism. Western hegemony destroyed both Syria and Afghanistan, and humiliating their refugees. Wickedness extraordinary\n\n@VanessaBeeley @georgegalloway @timand2037']"
2489,"['A flagship resettlement scheme for Afghan refugees has processed just two of the 3,226 applications made in the last two months, while it would take almost two years for the Government to clear the current backlog, @BylineTimes can reveal.\n\nhttps://t.co/9n0Tut3HGz']"
2490,"['US seeks close ties on human rights, Afghan refugees https://t.co/EyfnylhvUS']"
2491,"['Say it loud say it clear, refugees are welcome here. I’ve got more in common with the Syrian doctor, Afghan nurse and Ukrainian teacher than the entitled millionaire Etonians in government. #RefugeesWelcome #DemandBetter @broxtowelabour https://t.co/mkAIpe2HYy']"
2492,"['Sam Bright:\nA flagship resettlement scheme for #Afghan #refugees has processed just two of the 3,226 applications made in the last two months, while it would take almost two years for the Government to clear the current backlog\n\n@BylineTimes @WritesBright\n\nhttps://t.co/wveHo0FvJN']"
2493,['@iMac_too @capt_amarinder So did majority Sikhs and gurudwara.\nBut BJP govt which never opens mouth for pak refugees will certainly send flights to bring Afghan Sikhs.']
2494,['@MaxAue_ @zzanekk3 @ragipsoylu @oryxspioenkop Couldn’t agree more about immigration though. Turkey lacks so many things in human rights and freedom of press. Your “Union of Values” threatened us with economic sanctions if we didn’t accept f**ing immigrants and refugees. Now we have to live with your Afghan Aryan brothers.']
2495,"[""@Antoine71284847 @LBC Why don't you know that asylum seekers can't make their applics ftom France? Why dont you know that HO has shut down safe routes for black &amp; brown skinned refugees?  Why don't you know that the UK have a responsibility to ppl from Afghan &amp; Syria? Why do you quote racist tropes?""]"
2496,['Look these people are Afghan refugees These people are holding sit-ins in Islamabad for their rights.We appeal to this current government That negotiations should be held with him and his problem should be resolved soon because these people have come with small children and old https://t.co/o7QyW5MPKp']
2497,"['Commencement of World Refugee Day Week by a cake cutting ceremony in a monthly meeting of Outreach Volunteers group from Afghan Refugees and Host Communities at Urban Cohesion Hub (UCH) RWP,  Inspire Pakistan dated 14th June, 2022.\n#UNHCRPakistan #GIZPakistan #WUSC #INSPIRE https://t.co/5B2acFFLcM']"
2498,"['Mental Health Officer, Urban Cohesion Hub (UCH) RWP,  Inspire Pakistan, conducted Psychological First Aid training with female Outreach Volunteers and members from Afghan Refugees and Host Communities, dated 9th June 2022.\n#UNHCRPakistan #GIZPakistan #WUSC #InspirePakistan https://t.co/5zX0REO5bL']"
2499,"[""@on4U3TI7ylCbSD3 @gilltaylor @nick_cordoba @DefenceU @BorisJohnson Johnson has just fallen foul of the ECHR on his disgusting treatment of Syrian and Afghan refugees. He's also openly racist (check out the language he's used in public addresses - it's genuinely shocking).""]"
2500,"['Spot the difference!\n#WelcomeAfghans: This morning, we welcomed 313 Afghan refugees to Canada! Learn more about our efforts to help them resettle quickly and safely across the country: https://t.co/B5Py8t14GA']"
2501,"['@Sc_Meerkat @buf99335556 @10DowningStreet @ZelenskyyUa We should be helping all refugees from war zones. Afghan, Iraqi and Syrian refugees have no legal way to enter the uk so the desperate ones use boats across the channel. Even Prince Charles is appalled at the uk policy to deport so called illegal immigrants to Rwanda.']"
2502,"['Canada’s 16,000 Afghan refugees since the Taliban takeover is a worthy accomplishment. US has taken about 76,000. https://t.co/rUH62dTg6J']"
2503,"['For years, a group of heroic Sikhs tried to bring Afghan Sikhs as refugees to Canada, perhaps most notably by @manmeetsbhullar.\n\nThe government of Canada failed, despite overwhelming private sponsorship support from the community. \n\nNow many more Afghan Sikhs are likely dead. https://t.co/Jd8WA0QBml']"
2504,"['Flagship #Afghan #Resettlement Scheme in Turmoil – \n\nscheme for Afghan #Refugees has processed just TWO of the 3,226 applications made in the last two months\n\nhttps://t.co/yyWVbIcDH2']"
2505,['Germany is deporting Syrian and Afghan refugees to “make room” for Ukrainian refugees']
2506,"['@MadisonSiriusXM They need to pass reparations, they didn’t have to study before they gave money to Afghan refugees a year ago. So disagree, no more stalling']"
2507,['US Under Secretary of State Uzra Zeya has said that Washington is looking forward to a close partnership with Pakistan on human rights and support for Afghan relocation efforts and refugees.\n\nhttps://t.co/xwbySH5aqY']
2508,"['In the last seven days, more than 7,000 Afghan refugees in Iran have been sent home through Nimroz border, officials confirmed Friday.\nhttps://t.co/8n7pMezBCO']"
2509,['The @WorldSikhOrg has long been advocating to privately sponsor Afghan Sikh and Hindu refugees. https://t.co/hpzPv9BUzD']
2510,"['shouldn’t be a “what about…” comparison, but one cannot help but feel jaded when you hear that a 2nd airplane of ukrainian refugees is landing in newfoundland just this week, and meanwhile afghan sikhs have been murdered for two years…and we’re still in bureaucratic red tape. https://t.co/mK7isefZug']"
2511,"['US seeks close ties on human rights, Afghan refugees https://t.co/ubIoVHwIBr']"
2512,['This is the price of the silence of all of the Canadian Sikh MP’s and the Trudeau Governments failure to create a program for Sikhs to privately sponsor Afghan Sikh refugees at ZERO cost to the government. \n\n@HarjitSajjan \n@sukhdhaliwal \n@randeepssarai \n@rubysahotalib https://t.co/zL7FWCtezG']
2513,['Refugees from boats to be electronically tagged ‘like criminals’\n\nSo a desperate Afghan who helped the Brits arrives on UK shores to such a welcome! For those screaming about *their* papers-do you have any idea of the difficulties in having documentation https://t.co/EcoBfpYYln']
2514,"['For more than 40 years, millions of Afghan #refugees in Iran have benefited from the general facilities of Iranian citizens.\nBut in this regard, Western countries have not assisted #Iran as a host country for refugees under any international law.\n#RwandaDeportation\n#RwandaPlan']"
2515,"['ICYMI: Canada has now welcomed over 16,000 Afghan refugees, including the arrival of a charter flight in Vancouver this morning with 313 Afghans who supported Canada’s mission in Afghanistan. https://t.co/iFczFHpbv5']"
2516,"['AFGHAN REFUGEES HAVE ASKED FOR SANCTUARY FOR A LONG TIME — ONLY NOW DO WE LISTEN (https://t.co/M7cs855pIb)\n\nPHIL MILLER (https://t.co/63vCW5zNrl)\n\nAUGUST 20TH, 2021\n\nTagged\xa0AFGHANISTAN (https://t.co/jFJsqUHZdc)\n\n (https://t.co/7N9VTE8EpQ) https://t.co/Sy519OIc7Y']"
2517,"['We Afghan refugees in Indonesia are the most vulnerable and eligible for resettlement. We are looking for resettlement and if any country rescue us,  we will appreciate!\n#RescueAfgRefugees_Indonesia, https://t.co/kgx8x0YLX3']"
2518,"[""@SeanFraserMP Looks like pictures were taken from behind of travellers and be passed off as Afghans. Its been raining in Vancouver area all day pic show sunshine on IRCC account.Afghan refugees don't have MK handbags, no arrivals on YVRs website that meet the criteria. Seems like a big lie https://t.co/vlsGuoQcfs""]"
2519,['Political change in Pakistan offers a chance to help Afghan refugees.\nhttps://t.co/4ic5B0KogL']
2520,"[""I and @TheMAmiri wrote a small piece for MRG's yearly trends on the precarious challenges Afghan refugees face in Pakistan, especially those who fled to PAK after Kabul fell to the Taliban regime last year.\n👇\nhttps://t.co/28ENJYfuPH https://t.co/AB9a3l6CnS""]"
2521,"[""@CitImmCanada Is this real?Looks like photos taken from behind of travellers that can be passed off as Afghans Sean Fraser says it's Vancouver but it's been raining in Vancouver area not sunshine like the pic of the plane shows.Afghan refugees wouldn't have MK handbags. https://t.co/PqX9fMUNuz""]"
2522,"['@ClaudiaWebbe @5yUbRVjsdZBOSrj UK had less obligation to take Ukrainian refugees than Syrian, Libyan, Afghan who they bombed to destruction by deliberately seeking regime change, ensuing events for which they then became responsible']"
2523,"[""Dear prime Minister Anthony Albanese,\nAfghan Hazara Refugees are the most vulnerable Refugees in the world. \nespecially in Indonesia. 🇮🇩 \nHazara #Refugees 10 years in Indonesia don't have any other option except resettlement different countries.\n#RescueAfgRefugees_Indonesia https://t.co/6XNy1anWJ3""]"
2524,['@JustinTrudeau All talk no action!!  What’s happening with all the Afghan refugees you brought here that have been living in a hotel camp for 8 months !!!']
2525,"['Etsy Is Helping Support 30+ Afghan Refugees, and Their Work Is Stunning   https://t.co/Kn9kCo1Jj4']"
2526,['A program designed to help Afghan refugees is marking a key milestone. https://t.co/wmuWdfhEks']
2527,"[""Are these people in the pictures the 313 Afghan refugees? Its strange for a refugee who's been in living in the worst conditions in #Afghanistan to be carrying a MK handbag and dressed so nicely, and a girl that looks 5 years old wearing high heals? Why are at risk being ignored? https://t.co/45WaltuJtR""]"
2528,"[""Appoints Kamala by hook or crook at the next election and unleashes this 150k 'refugee' Taliban's immersing themselves on American culture at Fort Bliss.  Afghan Refugees, I know that's really not fair for me to say that like I did, the the reality is you folks have historically""]"
2529,['@BenBakerMO How about focusing on Missouri like we hired you to do. What are you doing to prevent Afghan refugees from being bullied in Webb City? What are you doing to lower gas and food taxes? What are you doing to repair I49 between Joplin and Neosho?']
2530,"['Bike donations keep coming in, and these #Chicago volunteers are hard at work fixing up bikes for Afghan #refugee families. @_emilysoto and Sofia Leal report: \nhttps://t.co/KW5acBaPok @DePaulJOUR']"
2531,"['Inspired by St. Francis, Patrick Carolan reaches beyond language and cultural differences to connect with Afghan refugees resettling in the United States. https://t.co/PT98PpZoki\n\n@franciscannet\n#Refugees\n#Afghanistan https://t.co/wIoycaN7Dm']"
2532,"['https://t.co/whsC69EpDm  Read an take in the facts from someone who has no agenda,then we must ask ourselves,WHY must we put our women and young girls in such danger,WHY do ppl who protest at getting rid of these dangerous individuals not accept those dangers,they are illegals']"
2533,['@UNHCRAfg @Refugees @UnhcrZulu @YumikoinKabul @UNAMAnews @OCHAAfg @unafghanistan @UNHCRAsia @OCHAAsiaPac I’m told by Afghan refugee in Pakistan that UNHCR is giving them numbers but not following up for help. What do they do to get aid ??']
2534,"['#WelcomeAfghans: This morning, we welcomed 313 Afghan refugees to Canada! Learn more about our efforts to help them resettle quickly and safely across the country: https://t.co/VMDM96wy5Y https://t.co/sA2UF4mVaK']"
2535,"['This morning, a charter flight arrived in Vancouver from Pakistan with 313 Afghans who supported 🇨🇦’s mission in Afghanistan. \n\nWith now over 16,000 Afghan refugees welcomed, we will continue to work closely with our partners to provide the support they need. https://t.co/ujrsvRQo7j']"
2536,"['This article insinuates — without substantiation — that ex-PM Imran Khan is/was a barrier to the evacuation of Afghan SIVs.\n\nAnd it contrasts him with Gen. Bajwa, who is described as a ""moderate.""\n\nGood proposals, but the leadership angle here is forced.\nhttps://t.co/jlRSCHamc2']"
2537,"['What is the difference between Syrian, Iranian, Afghan and Ukrainian refugees?']"
2538,"['For May, Ari has donated $511 to @impactMarket_ to support the Afghan Hope Community. Because World Refugee Day is June 20th, our contribution this month will benefit #communities support refugees &amp; IDPs (internally displaced persons). Read more 👇 #CELO #prosperity #blockchain https://t.co/WXTA68flXA']"
2539,['You need to read this your daughters safety May depend on it because @Conservatives @ukhomeoffice @RNLI @care4calais \n@DefenceHQ @RoyalNavy @DungenessRNLI @HMCoastguard\n@MCA_media. @UKCivilService. @UKHouseofLords\nHave flooded the uk with thousands https://t.co/hxGdrOpfnp']
2540,"[""ASU's partnership with the Asian University for Women to bring dozens of Afghan women to live and study on campus could be a model for other universities working with refugees.\n https://t.co/4a9fmaFyhO""]"
2541,"['@BishopJuno We have greeted 64 Afghan refugees to our school this year and been deeply and generously enriched by their friendship. The power of welcome, indeed! #TeamTeilo']"
2542,"['Cowardly to kill poor unarmed laborers. Mostly its Afghan refugees or frm KP in this hazardous labor. Dead bodies are sent silently whereas in case of hazara laborers you saw the outrage &amp;the protests by the community last yr. Pashtun leaders never own poor laborers, such a shame https://t.co/RwAhrVy0uy']"
2543,"['AptTherapy: Etsy Is Helping Support 25+ Afghan Refugees, and Their Work Is Stunning https://t.co/GhAX6O6VbY']"
2544,"['Etsy Is Helping Support 25+ Afghan Refugees, and Their Work Is Stunning https://t.co/QPvhqpJTnJ']"
2545,"['Join us on #WorldRefugeeDay Monday, June 20 for an event with @metropolisinst ""Responding to the Afghan Refugee Crisis in the United States and Canada"".\n\n@wrmcouncil Chair @lloydaxworthy will deliver closing remarks.\n\n#Afghanistan #Refugees\n\nRegister 👇\n\nhttps://t.co/7JBJBSHSdw']"
2546,"['@Vamprella1960 @zarahsultana STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2547,['Afghan newcomers continue to arrive in Canada https://t.co/xxYaBNmT4y #Afghanistan #Taliban #News']
2548,"['The best religion is humanity. In the pictures below, the Canadian Minister of Refugees  @SeanFraserMP welcomes Afghan refugees at the Toronto Airport.\n📷:@CitImmCanada https://t.co/3mjsVxDeYF']"
2549,"['@vivjones10 @zarahsultana STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2550,"[""@RefugeesAtHome But it's not a joke for the refugees, including Afghans who deserved so much better, who Patel sent to hotels to compensate them for losing their normal clientele because of our covid disaster. And why not let the afghan judge your lady mentioned move into that flat? Makes no""]"
2551,"['@ThatTimWalker STOP THE MIGRANT BOATS: Our government, must arrest the illegal boat traffickers, put them in prison, use their illegally gained money to fund supportive action! Racist as refugees don’t only come from Ukraine, currently NO Visa system for legal Afghan and Syrian refugees.']"
2552,['Like why are ppl playing candy crush during an immigrant health and language barriers lecture about literal refugeees. CT accepted about 900 or something afghan refugees this past few months like .. u think u won’t come across this population on ur rotations ? RUDE']
2553,['@just_simple_egg @itvnews @SarahCorkerNews This article is literally about Afghan Refugees.']
2554,"['#WelcomeAfghans: Leading up to #WorldRefugeeDay, we recognize the bravery and achievements of Afghan refugees who have resettled to Canada. Abdul Hakim Azizi and Mohammad Tamim Hamkar are now both rebuilding their lives in Ottawa. Read their stories: https://t.co/GaoWfuKiTC https://t.co/OOh4Xmc6Y7']"
2555,['Afghan newcomers continue to arrive in Canada\nhttps://t.co/815jK7h6xQ']
2556,"['On May 13, the Government of Canada announced the resettlement of over 40,000 Afghan nationals. Larger employers such as Amazon and McCain Foods have committed to providing new positions and hiring newcomers throughout Canada. For more information, visit: https://t.co/LHcTDuteRU https://t.co/0og70PvrHw']"
2557,['Almost missed the Poison Patel fail of the day.\nWell of almost a year actually and she moans about the cost of housing refugees - maybe if her department actually ran it would not be an issue #JohnsonOut144 #ResignNow #PatelOut \nhttps://t.co/vRmIi8jDfR']
2558,"['During the @SchwarzmanOrg alumni meeting, I decided to #raiseawareness about the current situation in #Afghanistan. How to help? \n- Support local organizations such as @ASEELApp and @LEARNAfg\n- Raise awareness using #StandwithAfghanwomen hashtag \n- Support Afghan #refugees https://t.co/T5dlX0vl0q']"
2559,"['@AC_NoChill tmm was working with all souls for afghan refugees and I think I heard they were starting working with ukrainian families as well, if not they may be able to point in right direction? https://t.co/L4LJUQH7Lq']"
2560,"['@PrettyBubbles65 Gotta ask yourselves why a “desperate Afghan refugee would complain about living in hotel, meals nice bed? then suddenly a lightbulb moment, maybe just maybe they ain’t really desperate refugees maybe they just fancy a free house and some free cash']"
2561,"['My home country Canada vows to resettle Syrian, Afghan and now Ukrainian refugees but can’t keep up with security checks and paperwork. People continue to die waiting.']"
2562,['@StateDept @SecBlinken Ukrainian refugees. It seems like our Afghan Allies sure have to jump through a heck of a lot more hoops just to get out the country they are being targeted in much less come in our country but this is “equitable “ ?']
2563,"['@CanadianCentury My first reaction is still :""Um, ok yeah. Great. Where was the brew for Afghan refugees? Syrian? Palestinian?""']"
2564,"['Proud to call these folks colleagues, helping to serve and resettle Afghan refugees - special props to all our veteran and civilian volunteers who make it happen.@TeamRubicon #WorldRefugeeDay2022 https://t.co/cnPaBClAP1']"
2565,"[""@AzmatullahAhma4 @kyhogfan1007 @Erin_Murphy_13 Open the DailyMail and you'll read tons and tons of articles of Syrian &amp; Afghan refugees that have been arrested for groping, sexual harrasment and rape. It's not racism to speak with the truth.""]"
2566,['@acoyne Once they have freed the 10% minority perhaps they will turn their attention to the Black Canadian minority whose freedom is being violated by Police Departments. Then they can join @CTVNews in their fight to bring Afghan refugees to Canada.']
2567,"['After a fascinating discussion round we are now ready for the final part of a very successful #socloseopenday @Refugeegr : Three documentaries made by Afghan, Syrian and Kurdish #refugees for the SoClose #webdoc https://t.co/BWQfgEHt46']"
2568,"['@BorisJohnson We rightly welcome Ukrainian refugees fleeing war. War in Syria for 11 years, Iran is a despotic regime, and Afghan is now under Taliban and we can’t even bring out those that helped the UK effort. Sending desperate people to Rwanda is immoral, but I guess they are just too brown']"
2569,"['ITV NEWS: Afghan refugees stuck in hotel rooms since August at a cost of £1MIL pound a day. One charity  had 1,600 ppl come forward offering to accommodation. In the end no Afghans were placed with any hosts. They all went to quarantine hotels and then to transition hotels and']"
2570,['@Hartley_92 @CornesyR @lydia_fleur @Care4Calais Afghan refugees are not treated the same as Ukrainian refugees. Nor are Syrians or Yemenis. All refugees deserve kindness and dignity - regardless of skin colour.']
2571,"[""Just heard we're paying out £1M/day to hotels to accomodate Afghan refugees despite fact enough people have offered  to accomdate all. Is this further @pritipatel uselessness?""]"
2572,"['@empire_russ @ITSDJFLOW @CharriseJLane Depending on how long your family has been in the country we built, you have contributed to paying:\n1. Native American treaty settlements\n2. Reparations to Jews\n3. Reparations to Japanese\n4. Money to Afghan refugees\n5. Money to Ukraine\n6. Money to Central and South America']"
2573,"[""@Norther98293017 There can't be any legal Afghan refugees left.  Even most of them we already have, claiming to be interpreters, weirdly can't speak English.  So I wouldn't worry too much about them.""]"
2574,"[""Afghan refugees still stuck in hotel rooms so that #Tory crony landlords/hotel owners can make megabucks perhaps? @itvnews  There's no money to be made if host families take them in. \n\n#ToryCorruption""]"
2575,"[""Home Office ignores the thousands of UK families who offered homes for Afghan people. Instead Psycho Patel's uselessly inept dep't spending £1m a day for 12,000 people in hotels. So when UK people moan about the cost of refugees here, they need to put the blame on thicko Patel. https://t.co/S4Fi2FksEM""]"
